,ticker,expiration,timeToMaturity,strike,optionType,lastPrice,bid,ask,impliedVolatility,inTheMoney,spotPrice,interestRate
0,NVDA,2025-03-21,0.016438,5.0,Call,115.0,115.6,116.1,9.187504257812499,True,120.742897,4.188
1,NVDA,2025-03-21,0.016438,10.0,Call,98.92,110.6,111.1,7.0312512109375005,True,120.742897,4.188
2,NVDA,2025-03-21,0.016438,15.0,Call,91.75,105.75,106.2,6.570314287109376,True,120.742897,4.188
3,NVDA,2025-03-21,0.016438,20.0,Call,100.8,100.75,101.2,5.648440439453125,True,120.742897,4.188
4,NVDA,2025-03-21,0.016438,25.0,Call,95.37,95.7,96.15,4.765629042968749,True,120.742897,4.188
5,NVDA,2025-03-21,0.016438,30.0,Call,78.15,90.75,91.2,4.39062951171875,True,120.742897,4.188
6,NVDA,2025-03-21,0.016438,32.0,Call,79.32,88.75,89.2,4.191411010742188,True,120.742897,4.188
7,NVDA,2025-03-21,0.016438,33.0,Call,78.83,87.7,88.15,3.94531263671875,True,120.742897,4.188
8,NVDA,2025-03-21,0.016438,34.0,Call,78.77,86.6,87.1,3.57031357421875,True,120.742897,4.188
9,NVDA,2025-03-21,0.016438,35.0,Call,73.18,85.75,86.2,3.9218751953125004,True,120.742897,4.188
10,NVDA,2025-03-21,0.016438,36.0,Call,81.73,84.6,85.1,3.41406396484375,True,120.742897,4.188
11,NVDA,2025-03-21,0.016438,37.0,Call,73.51,83.7,84.2,3.6875007812500002,True,120.742897,4.188
12,NVDA,2025-03-21,0.016438,38.0,Call,77.3,82.65,83.15,3.46093884765625,True,120.742897,4.188
13,NVDA,2025-03-21,0.016438,39.0,Call,68.2,81.7,82.2,3.5312511718749997,True,120.742897,4.188
14,NVDA,2025-03-21,0.016438,40.0,Call,80.29,80.65,81.1,3.2265644335937496,True,120.742897,4.188
15,NVDA,2025-03-21,0.016438,41.0,Call,84.82,79.7,80.2,3.3828140429687497,True,120.742897,4.188
16,NVDA,2025-03-21,0.016438,42.0,Call,80.28,78.65,79.15,3.175783310546875,True,120.742897,4.188
17,NVDA,2025-03-21,0.016438,43.0,Call,77.95,77.7,78.2,3.2421893945312497,True,120.742897,4.188
18,NVDA,2025-03-21,0.016438,44.0,Call,89.35,76.7,77.2,3.175783310546875,True,120.742897,4.188
19,NVDA,2025-03-21,0.016438,45.0,Call,70.33,75.7,76.2,3.1093772265624997,True,120.742897,4.188
20,NVDA,2025-03-21,0.016438,46.0,Call,85.95,74.65,75.1,2.843752890625,True,120.742897,4.188
21,NVDA,2025-03-21,0.016438,47.0,Call,67.87,73.65,74.15,2.8593778515625,True,120.742897,4.188
22,NVDA,2025-03-21,0.016438,48.0,Call,73.2,72.65,73.15,2.7968780078125004,True,120.742897,4.188
23,NVDA,2025-03-21,0.016438,49.0,Call,72.3,71.75,72.25,2.9609400976562497,True,120.742897,4.188
24,NVDA,2025-03-21,0.016438,50.0,Call,70.47,70.75,71.2,2.85156537109375,True,120.742897,4.188
25,NVDA,2025-03-21,0.016438,52.0,Call,66.55,68.75,69.25,2.7812530468750003,True,120.742897,4.188
